Name,Net cash flow / Change in cash,Average Payables,Average Receivables,Current Ratio,SG&A to Revenue,Days Payable Outstanding,Days Inventory Outstanding,EBIT per Revenue,Debt to Assets,Debt to Equity,Payout Ratio,Return on Equity,R&D to Revenue,Price-to-Earnings Ratio,Dividend Yield,cluster
"Advanced Micro Devices, Inc.",-0.018766303204786148,-0.01787921379044449,-0.02020654745414767,-0.1757914047548578,-0.05905879568710092,-0.0600410670827999,-0.021661311626597225,0.049382808453481024,-0.0035243325748060867,0.013928229032301405,-0.05784659519570565,-0.015925473038937592,-0.04643864189392879,0.2701531844136738,-0.20589809805734602,1
Snap Inc.,0.030618777611232342,-0.08078215098896575,-0.11606907889275388,0.5437103101810749,-0.042584938021827966,-0.07291553265414683,-0.014492842815240513,0.038878374221202265,-0.55555998851954,-0.05821902031889412,-0.05784659519570565,-0.015930022144129218,-0.04075278451335653,-0.231416720084706,-0.20589809805734602,5
"Facebook, Inc.",0.6073187261755579,-0.007219726931398159,1.0460821048724591,0.8116526028056179,-0.05616226568201792,-0.07308597850534752,-0.025237277304798054,0.052967240916049735,-0.55555998851954,-0.05821902031889412,-0.05784659519570565,-0.015925492143381327,-0.04693152134786189,-0.07311495752682609,-0.20589809805734602,5
Citigroup Inc.,2.3574548364108496,4.4807142947913,6.537968629195729,-0.4074341870750949,-0.04683318202928305,0.009347845076391465,-0.00237581742343668,0.051728753526382065,-0.0916408111840602,0.10641027633208686,-0.013845248348051136,-0.01592645186073154,-0.04934991653516031,-0.1595283071111878,0.05742666251994056,3
Vale S.A.,0.5968222316001479,0.18936441507455154,0.3033161561801569,-0.19513873651112587,-0.06087696387210975,-0.06623368845511685,-0.029374998539814238,0.05103723128888917,-0.10431509920319952,-0.025360383461255243,0.02173844953744338,-0.015926092247672913,-0.049215853323690495,-0.13910674324174124,0.1641799438350567,2
Oracle Corporation,-0.03605464721134398,-0.04358525522943717,0.7749193555212001,0.2253919461911544,-0.05504879440733666,-0.0741324452855556,-0.02559343979310098,0.0521540885259326,0.3290248435464203,0.0372953450364662,0.10935852282538154,-0.015926533897460536,-0.04731925318495592,0.26467503939667303,-0.06089155760431321,1
"NIKE, Inc.",0.15072121214521825,0.07240011368923363,0.4784856560124989,-0.04401052241499398,-0.053303352949728204,-0.0694286638380772,-0.027829603734603543,0.04985752674126804,-0.2153660037518486,-0.029846752825406962,0.06440062495929973,-0.015925861870557226,-0.04934991653516031,0.3259692926644636,-0.11159936622899336,2
The Procter & Gamble Company,-0.9115857829720224,0.6397821200062951,0.6698358361614765,-0.3506474785520733,-0.0540933156783872,-0.06061453024949912,-0.02952381777538703,0.05064915469589405,-0.02364225006550329,-0.014992047748337841,0.08429688614258699,-0.015925932669378143,-0.04934991653516031,-0.03894537440898072,0.11169291385512464,0
Ferroglobe PLC,0.027296328357686358,-0.06730504269360288,-0.1472935194770355,-0.17871175671806808,-0.057473854593410485,-0.06414796052253778,-0.029149367647911355,0.04926906027877207,-0.02505050428985217,-0.004945210817216328,0.033982302573312466,-0.015926649647913783,-0.04934991653516031,-0.17266292192597976,0.4657579635502598,6
Banco Bradesco S.A.,-3.6917072120819188,-0.08448287828047209,-0.17374120506537008,-0.4268291153917639,-0.05113910585502116,-0.07541706461634984,-0.034094370282855176,0.050759111939563915,-0.34653482579119504,0.021541904728467662,-0.03699378299399113,-0.01592621923603424,-0.04934991653516031,-0.10623233032858984,-0.13472924384726853,2
Pfizer Inc.,-0.04871218478757381,0.2537926740831411,1.3030640332720598,-0.21539867825589726,-0.05447951967906494,-0.06708455519240206,-0.024343343927071395,0.05079585252221794,-0.028872908613084686,-0.010118418487931984,0.0791315106430797,-0.015925980430487492,-0.047388913481111815,-0.019185252669748763,0.07166043336195603,0
"JD.com, Inc.",0.35874834036291986,0.7440102544101789,0.44948267939192416,-0.4784858857416033,-0.058173535867365615,-0.058815481495703585,-0.03174955204767388,0.04871254769874638,-0.4169475370086355,-0.04059504164408314,-0.05784659519570565,-0.015927203114886827,-0.04900424374480189,-0.231416720084706,-0.20589809805734602,2
Nokia Corporation,-0.3785994796499797,0.2883571749046596,1.0844351275110689,-0.2297266550753977,-0.05738608095689283,-0.055185626821063295,-0.020065179338095724,0.04858627364261068,-0.3155532328555212,-0.03569218522169584,-0.8103270193517036,-0.0159271722106396,-0.046658137544080325,-0.231416720084706,0.20866047771635515,0
"Twitter, Inc.",0.09555719362457912,-0.07302012294740476,-0.04166249316480016,0.3546175205632093,-0.05241307749362045,-0.07085304614662773,-0.017195716595123475,0.05043955698895273,-0.017003337293573246,-0.029006471918440437,-0.05784659519570565,-0.015925973687742647,-0.04695780825207165,-0.06547881136990738,-0.20589809805734602,5
Broadcom Inc.,-2.1193001000015617,-0.015014929906551091,0.3510400728443913,0.20951253239119846,-0.059964118052326015,-0.07169668105379283,-0.02369809743946248,0.050882711207570826,0.14655533190579578,-0.010271861088334569,-0.01212345651488205,-0.015924384647539837,-0.046974894739808,-0.16209555247412966,0.07699809742771188,1
"Applied Materials, Inc.",-0.4701155699474208,0.10300081746146188,0.24995627221462255,-0.0078711668702667,-0.05977853950654581,-0.060333772786683525,-0.02531758932956355,0.051397304305924096,0.050190507125355714,-0.0015475532368734164,-0.022836827921267497,-0.015924249230747447,-0.04781213263888903,-0.14350034487763594,-0.034203237275534135,1
Zynga Inc.,0.06839133950213169,-0.08282416785763361,-0.15598727174738605,-0.21722389823290364,-0.05223753022058511,-0.07259062434440222,-0.027510498718257118,0.049008630341833205,-0.4618104930128906,-0.05364496946879807,-0.05784659519570565,-0.015926914300649117,-0.04543316780790526,1.5838539305740509,-0.20589809805734602,7
Exxon Mobil Corporation,-0.02710175477937653,2.6008376480066286,4.3984827194635026,-0.34809217058426434,-0.06024248587099632,-0.06313553050800377,-0.028546197017617875,0.049736276383280716,-0.3358723295211254,-0.043817336252537385,0.06880075964406518,-0.01592635802419905,-0.0492828849294254,-0.10233019128106688,0.21577736313736284,3
Vipshop Holdings Limited,0.006376317410090168,0.03926167625517677,0.06505320615067453,-0.473594296203226,-0.05948010914238574,-0.0622575968123342,-0.02693222356550936,0.0490515610751403,-0.2489629259613131,-0.03011710407373532,-0.05784659519570565,-0.015926275987470054,-0.04903841672027458,-0.12310741886578247,-0.20589809805734602,2
Bristol-Myers Squibb Company,0.474568941839489,0.06562009993875177,0.9411803909095516,-0.2073677103570689,-0.05617731259113525,-0.06739667678802122,-0.016859716943369414,0.051189594132399006,-0.13288254203998967,-0.019946051704192662,0.0439304331649561,-0.01592499823732112,-0.045653977803267284,-0.07188445345218104,0.06810199065145217,0
Visa Inc.,-0.3046414201703674,0.07986900584217085,0.31204281522733124,-0.2073677103570689,-0.05809830132177905,-0.06450698420480558,-0.025269709289893482,0.05480102750352989,-0.07232761039299082,-0.02248881479657833,-0.022262897310211117,-0.01592526682332428,-0.04934991653516031,0.0830306514948515,-0.15696951078791774,2
"Groupon, Inc.",0.0019942194632316034,-0.030371733564908524,-0.158488914007576,-0.31104020505103386,-0.04918802330614274,-0.05038476591490718,-0.032376368023929014,0.04869442926692325,-0.3085119617337771,-0.019566098598433886,-0.05784659519570565,-0.01592713231606591,-0.04934991653516031,-0.231416720084706,-0.20589809805734602,2
Geron Corporation,0.012797582144758114,-0.08442903699480649,-0.17359539713712355,3.5126131247797256,0.3788564159904703,0.01268504645171421,0.037328325968735115,-0.18731857592028436,-0.55555998851954,-0.05821902031889412,-0.05784659519570565,-0.015927822885517556,0.11626283736720355,-0.231416720084706,-0.20589809805734602,8
KeyCorp,0.0167365460943951,-0.08448287828047209,-0.17374120506537008,-0.4917528418747546,-0.04817235694072402,-0.07541706461634984,-0.034094370282855176,0.052068742468665,-0.3453277507417532,0.010165231927190429,0.004711841409437944,-0.0159262962157046,-0.04934991653516031,-0.15249263216186612,0.1339331807957738,2
Regions Financial Corporation,-0.12218764681544456,-0.08448287828047209,-0.17374120506537008,-0.4926149323031354,-0.04940118785197136,-0.07541706461634984,-0.034094370282855176,0.0522467474112452,-0.3310440293233581,0.009690290544991959,-0.0010274647011256934,-0.015926337795964505,-0.04934991653516031,-0.15167137231024494,0.10012797504598704,2
The Kroger Co.,0.022293513810788687,0.3388510284073679,0.12496506190353272,-0.3584959244532009,-0.0569346736833734,-0.07084963984983203,-0.033224439431542754,0.04889662961066028,0.2875819335155839,0.1061253115027678,-0.013462627940680226,-0.015925423030246622,-0.04934991653516031,-0.1067690592079958,-0.05288506150567948,1
Halliburton Company,-0.08699351794495186,0.11753977742907268,0.7598295075854612,-0.07759456999191214,-0.06096975314499985,-0.06338804190969803,-0.0198755522358142,0.04965572530288445,0.24292015668623584,0.02091352074586661,0.01504259240845248,-0.015925991668395582,-0.04934991653516031,-0.1014978458071516,0.035186395579291346,1
Alibaba Group Holding Limited,2.7660017568775497,-0.08448287828047209,-0.17374120506537008,-0.4468000669407717,-0.05687197822871792,-0.07541706461634984,-0.034094370282855176,0.05193225603087158,-0.20329525325743025,-0.033142115338814816,-0.05784659519570565,-0.015925984363755318,-0.04815517673882647,0.1824372742097554,-0.20589809805734602,2
Marathon Oil Corporation,0.2921151684845662,0.023453490356878017,0.022699526194459186,-0.21047058431797985,-0.05973339877919386,-0.053999423265382006,-0.023408388374364448,0.051076047167796006,-0.03671889643445655,-0.025090032212926883,-0.028384823828145674,-0.015926460851058002,-0.04877291898775595,-0.12951398474991402,-0.08224221386733642,2
"Gilead Sciences, Inc.",3.2104493808772654,-0.02632703841002883,0.4787583641077231,0.11533118157766692,-0.05663875113739954,-0.07200248789919839,-0.024293142214459475,0.0524710306019219,0.3076998510062812,0.035125228259343964,0.046034845405496086,-0.015925535409327445,-0.04636898159777291,-0.09383583319821333,0.11880979927613232,1
Freeport-McMoRan Inc.,-0.06414820622200045,0.10122423631828747,0.021790499210378532,0.08631018394326481,-0.060638721144418935,-0.06193999893955885,-0.03119342208298688,0.05100593445346411,-0.024648145940038158,0.024866494403856968,-0.04177653808612748,-0.015925476410310013,-0.04927631320337296,-0.17820758067674508,-0.07690454980158061,2
"salesforce.com, inc.",0.3035378243460419,-0.01818145012533228,0.4732717499399075,-0.32764970684179234,-0.047530355485051946,-0.07472744672891693,-0.009844639277378688,0.049184969171881664,-0.3982378737422871,-0.046104361677585415,-0.05784659519570565,-0.01592677382679809,-0.04741388604011108,1.8731886724500424,-0.20589809805734602,7
"Activision Blizzard, Inc.",-0.13700622739249413,-0.06359898565866702,0.0037917649255815866,-0.07960231196661924,-0.05490334095253596,-0.07219085611200113,-0.025098780584305192,0.051156090032196816,-0.2551994803834293,-0.04108459660727233,-0.030489236068685668,-0.015926074828915386,-0.047420457766163535,-0.0506545629571231,-0.1409565185906503,2
"Square, Inc.",-0.01698622121296807,-0.02459120986287338,-0.08415941376787231,-0.12304254741937215,-0.055530295499090734,-0.05212200348300212,-0.02688153965928644,0.04868570388878425,0.08740865448314575,0.010165231927190429,-0.05784659519570565,-0.015927161534626918,-0.047367883957744,-0.231416720084706,-0.20589809805734602,1
Nucor Corporation,0.15343239494996094,0.010130473283116993,0.2384219015217184,0.0602095382720729,-0.060375400234865935,-0.06996814264366848,-0.02757884519786076,0.049942506480467615,-0.07373586461733964,-0.026200664368221768,-0.01824538303281659,-0.015925614074684017,-0.04934991653516031,-0.16708593011019002,0.05831627319756653,2
Southwestern Energy Company,-0.20615960341872547,-0.04307766061710164,-0.08202038237163213,-0.295160791251078,-0.05987885223399456,-0.06033581656476095,-0.024287855943761105,0.05061083010101456,0.24895553193344505,0.013489821602579735,-0.05784659519570565,-0.015925691616249786,-0.04934991653516031,-0.19754367736322775,-0.20589809805734602,1
"Lowe's Companies, Inc.",0.023837115954231356,0.3955928547148765,-0.17374120506537008,-0.3086674190809255,-0.05595662459074796,-0.06623219492498335,-0.034094370282855176,0.04956791071485578,0.413318917832442,0.15322488303586546,0.015999143426879754,-0.015923671040376626,-0.04934991653516031,-0.002160508231585792,-0.06711883234769497,1
Rite Aid Corporation,0.07691356693607862,0.03390529850596307,0.1571651611498281,-0.2519030777960257,-0.05581869459050591,-0.06808121143254363,-0.028435113896861507,0.049365212849419735,0.20348903840446925,0.09656802953483544,-0.05784659519570565,-0.015923657554886922,-0.04934991653516031,-0.21137853398626366,-0.20589809805734602,1
VEON Ltd.,0.1985728785919408,0.023417233598854045,-0.052658810785827015,-0.37328020626695296,-0.05103126967301375,-0.0603439654747876,-0.029954809568508142,0.050097237758171285,0.5652091948872068,0.09819013702480564,0.1103150738438088,-0.015926751350981927,-0.04934991653516031,-0.16591085414701545,0.8963295315212284,6
Schlumberger Limited,-0.09255048566134544,0.6500427825270777,1.2775203750193935,-0.2885899993338549,-0.0608970264175995,-0.04562244856710869,-0.018439133186689573,0.04963385495567105,-0.0974750072563624,-0.025784177309986184,0.19066535939169968,-0.01592663672431949,-0.04906864666011582,-0.014982878018427306,0.2869462173474403,0
Flex Ltd.,-0.09602389920452012,0.2638434462317231,0.2544467746132826,-0.2710678875545932,-0.060229946780065234,-0.05616129503248669,-0.027643512718802686,0.04897260824580523,-0.12423183751898985,0.012963732686913731,-0.05784659519570565,-0.015926170913029485,-0.04934991653516031,-0.04905176673376791,-0.20589809805734602,2
Fox Corporation,0.7805108866698248,0.053329058968626934,0.1467817095214684,0.07754912805363398,-0.05824877041295218,-0.05884778891069675,-0.022325935153759302,0.0507294510358361,-0.55555998851954,-0.05821902031889412,-0.05784659519570565,-0.015925687682981957,-0.04934991653516031,-0.1316876905214153,-0.20589809805734602,2
AbbVie Inc.,-0.6071874402851293,0.7188581092565672,0.7781918526638905,-0.3219915249130724,-0.055570420590070224,-0.040578692497135437,-0.023379063859206576,0.05054013244744533,0.8108489674486208,-0.40695021029099343,0.12925478400866874,-0.015930752046259152,-0.045204471741280304,0.000641382803247802,0.14016045553915554,0
"General Mills, Inc.",-0.09875576627798496,0.0919425062641519,0.10935706858686788,-0.3988332859450429,-0.056693923137496376,-0.058731214953434335,-0.02711961828996218,0.050252939275557365,0.4835304498749755,0.1299965960511125,0.04373912296127065,-0.015925019027451068,-0.04934991653516031,-0.12506680260626452,0.2042124243282253,1
Verizon Communications Inc.,0.3319401037853869,1.5011339203816818,4.243675424074566,-0.3347680647521174,-0.055279513680468816,-0.05897269519396711,-0.021590572037961216,0.05044119057314387,0.3032739091583278,0.09722564067941797,0.0628701433298161,-0.01592532694613252,-0.04934991653516031,-0.0932889424983711,0.16951760790081255,3
Xerox Holdings Corporation,-0.0533429912179018,-0.004754267385768396,0.7222866931429303,-0.23784888397307624,-0.05513907586204055,-0.06480246735069188,-0.002609074118002414,0.04932250188122516,0.15178599045337718,0.018136940357629392,0.07874889023570883,-0.015926563677916956,-0.04881892107012304,-0.10102855446336806,0.24424490482139385,1
"Commvault Systems, Inc.",0.014974678607869643,-0.08445104484692705,-0.1462701368983575,-0.1372792632400222,-0.04325452547754845,-0.07531298914809939,-0.01898442272464039,0.04870579591507672,-0.55555998851954,-0.05821902031889412,-0.05784659519570565,-0.0159278296282624,-0.047638639071104584,-0.231416720084706,-0.20589809805734602,2
United States Steel Corporation,-0.15738177568593728,0.1165245882044016,0.1926875722175414,-0.22561991012713326,-0.06064122896260516,-0.05534907666269127,-0.024108283471220064,0.04947533446911335,-0.11940353732122252,-0.01681874537217811,-0.05172466867777112,-0.015925478095996225,-0.04934991653516031,-0.20471330358193648,-0.10804092351848953,2
"Mattel, Inc.",-0.13507363750890392,-0.04423312723856745,0.01667585888444873,-0.16137216693650705,-0.049942876580194674,-0.06402122007945435,-0.0200881817592427,0.04825169716374091,0.5412688730732769,0.2594948440003973,-0.05784659519570565,-0.015931531395184648,-0.04934991653516031,-0.231416720084706,-0.20589809805734602,1
"The Michaels Companies, Inc.",0.05380862133260017,-0.0482163309318385,-0.16924861190464666,-0.18181463067897904,-0.05473280931587306,-0.06680201597433946,-0.033775765319142385,0.050013423364182026,1.829217950827718,-0.1902015770366017,-0.05784659519570565,-0.01592842242791373,-0.04934991653516031,-0.11977249415897424,-0.20589809805734602,4
Devon Energy Corporation,-0.058899958934295386,0.016165881994060632,-0.006116629200897538,-0.1376443072354235,-0.05971584405189032,-0.0629878282384852,-0.028902127338626613,0.05204637593228286,-0.09767618643126942,-0.02278839320688814,-0.04847239521511839,-0.01592509432143522,-0.04913304957542974,-0.19750395388334055,-0.08757987793309224,2
ICICI Bank Limited,0.41805862530241344,-0.08448287828047209,-0.17374120506537008,-0.4696991894708893,-0.06123558187273907,-0.07541706461634984,-0.034094370282855176,0.05202306042767529,-0.14515447170931506,0.09329458739291367,-0.05723440254391221,-0.015926577163406654,-0.04934991653516031,-0.026544258269315016,-0.20500848737972,2
Marathon Petroleum Corporation,-0.3836738499146317,0.6191157679326338,0.7851004577429034,-0.2524506437891276,-0.060611135144370526,-0.06505759898069051,-0.030165206714107943,0.049192081998614065,0.04013154838000705,-0.0010433846926934992,0.007772804668405219,-0.01592652490713407,-0.04934991653516031,-0.12971260214934996,0.07166043336195603,0
Philip Morris International Inc.,-0.5584096125523412,0.07178374880282619,0.4900302987103232,-0.2949782692533773,-0.05890832659592779,-0.0729393243271507,-0.031183921082947905,0.050022904080026936,1.0496486480631977,-0.244476416836144,0.11127162486223603,-0.015930536840319382,-0.04934991653516031,-0.11001345133273553,0.3928098879849304,4
MSCI Inc.,0.0191056666641509,-0.08428332108430818,-0.10092541655955747,-0.17761662473186424,-0.056114617136479764,-0.07515747859823373,-0.012573247908870959,0.05369281784394689,0.9738040991232688,-1.188506442046303,0.005094461816808854,-0.015944109423805537,-0.048603368455602966,0.002196141329995213,-0.09024870996597016,4
Radian Group Inc.,0.01789671746540661,-0.08448287828047209,-0.1599958080390865,-0.3305378779437572,-0.05520678695306847,-0.07541706461634984,-0.030066928512577036,0.05419268853323368,-0.20108228233345354,-0.0349103586386922,-0.05727266458464929,-0.015925992792186386,-0.04934991653516031,-0.17801265848474052,-0.20056043399159015,2
The Coca-Cola Company,0.923757165581304,0.5783269151556707,0.4945754336307265,-0.34334659864404754,-0.05312279004032043,-0.04679701830911847,-0.02655393374816831,0.05136131956560777,0.5133049677612076,0.13202788380882288,0.13977684521136874,-0.015924839782817158,-0.04934991653516031,0.0582653712898337,0.08678381488159749,1
"Spirit Realty Capital, Inc.",0.003064553189494746,-0.07536756674566651,-0.17374120506537008,-0.3607206182517078,-0.05824877041295218,-0.04968403825946364,-0.034094370282855176,0.05355775081742333,0.2555944447053752,-0.004638325616411163,0.957819276170372,-0.015926704151767983,-0.04934991653516031,0.0011836544938008085,1.6702908210558207,6
ConocoPhillips,-0.10428186195150968,0.2028519290594673,0.5886597264830741,-0.17378366278015075,-0.060974768781372285,-0.06579815410636082,-0.02724877474161974,0.051300706181189135,-0.1252377333935247,-0.023979400057631998,-0.01652359119964749,-0.015925868051406673,-0.04922505374016392,-0.12395546897128105,-0.04043051201891594,2
Chesapeake Energy Corporation,0.01426678266488684,-0.03310705216051068,0.05978782714494985,-0.4002934619266481,-0.06054843968971505,-0.06828461975581357,-0.026149284013425915,0.04996593931591743,0.6643905281163445,0.21148923044587487,-0.05784659519570565,-0.015924624014981983,-0.04934991653516031,-0.2085932713848712,-0.20589809805734602,1
The Walt Disney Company,0.04266906210423185,0.580248523330941,1.4595075772323405,-0.32947492681879875,-0.05749642495708648,-0.06016390338570979,-0.0238571141769568,0.05106175147404639,-0.12966367524147812,-0.0269459569987486,-0.019584554458614768,-0.015925517428674513,-0.04934991653516031,-0.10358009519472658,-0.07690454980158061,0
Lennar Corporation,-0.3226750152917793,-0.02068059219916631,-0.13969741728996232,0.4385437973551222,-0.06081677623564049,-0.07004842643891504,-0.03334389843391242,0.04975157499651947,0.04616692362721625,-0.015408534806573424,-0.05229859928882747,-0.015926315320148342,-0.04934991653516031,-0.1591199866900218,-0.1729825029851852,5
Chevron Corporation,1.4155488084821364,0.949487347047022,3.0254883627080824,-0.2728931075315996,-0.060656275871722475,-0.0673946330099438,-0.027435490823212637,0.04992888546191802,-0.2825598481707776,-0.04192487751423886,0.051965461719745185,-0.015926429946810778,-0.049253969334794666,-0.10273481649480153,0.16062150112455284,0
"PayPal Holdings, Inc.",1.5421241842444349,1.43257239095836,3.3623737630083728,-0.2690601455798861,-0.056749095137593186,0.05978634905831351,0.051864677438131085,0.05016921218501545,-0.4628163888874254,-0.048727499465420036,-0.05784659519570565,-0.015926217550348027,-0.04843907530429193,0.2150345465655543,-0.20589809805734602,3
Yamana Gold Inc.,-0.0029289452130644264,-0.06127130179352834,-0.16802342533550274,-0.34352912064174823,-0.05995659459776735,-0.05974057930085223,-0.03321363472285182,0.048601261956370316,-0.07977123986454883,-0.023511765465928886,-0.0706643788426311,-0.01592736943592644,-0.049255283680005146,-0.231416720084706,-0.1302811904591387,2
Walmart Inc.,-0.025558152635933862,3.08888986776725,0.8670037890085702,-0.3626939304003157,-0.05589643695427871,-0.06660678276337922,-0.033362971870080874,0.04904953035803778,-0.09827972395599033,-0.014597481061588344,0.06076573108927609,-0.015926257444921717,-0.04934991653516031,0.06790616747826872,-0.0359824586307861,0
Cleveland-Cliffs Inc.,-0.03330703539601604,-0.0741025684582103,-0.14343424541612107,0.07535886408122626,-0.05997916496144332,-0.06775745602325296,-0.027758614119650717,0.05181896862944342,0.6374325186788099,0.30228340914123186,-0.05784659519570565,-0.015912025758126547,-0.04934991653516031,-0.21272174188756532,-0.20589809805734602,1
"Merck & Co., Inc.",0.5921914251698199,0.1482855082333968,1.0938060215366934,-0.2887725213315555,-0.05524440422586175,-0.0679141456758556,-0.02319622318552432,0.050659019364358085,0.055823524022751,0.010508651080472404,0.1047670779369306,-0.01592565958821175,-0.04631903647977435,0.07023969097117656,0.025400678125405696,0
"Mondelez International, Inc.",0.11923172841898795,0.33243358223712577,0.4200352209361129,-0.41854566169671226,-0.05497606767993631,-0.05405347857530162,-0.026539914415404046,0.05041531004859212,0.03369381478298395,-0.005858559629136462,0.02192975974112884,-0.0159262276644653,-0.04934991653516031,-0.07063547334037923,0.007608464572886348,1
MGM Resorts International,0.022839022808281324,-0.035746326604107335,-0.06470532728156224,-0.34498929662335337,-0.05657856350093029,-0.07042199238827221,-0.03045245123408308,0.04975550720390592,0.4614007406352085,0.11312521679732375,0.054069873960285175,-0.01592656592549857,-0.04934991653516031,0.041893754765164735,-0.0297551838874043,1
Kinross Gold Corporation,-0.1943664830428235,-0.050093343294739266,-0.1562242550821359,-0.02521075665182777,-0.06019734514364439,-0.06154733152586266,-0.0320369037217848,0.04935853248844983,-0.12262240411973405,-0.030087876911753873,-0.05784659519570565,-0.01592700083254135,-0.048903039163594286,-0.231416720084706,-0.20589809805734602,2
The Charles Schwab Corporation,5.9009479168978265,2.3478742472734098,3.774072084098501,-0.44310053935039145,-0.04944883639750952,0.2507745805471803,0.10875771935381152,0.05293061572638746,-0.5088864199411223,-0.033902021550332374,-0.022262897310211117,-0.01592601526800255,-0.04934991653516031,-0.0760905233109339,-0.10715131284086353,3
Nabors Industries Ltd.,0.04824177456248855,-0.057063378714024726,-0.0414962321294118,-0.15188102305607362,-0.05904876441435605,-0.06309117004281041,-0.017920132130049587,0.04771466555147615,0.3630241241056988,0.03880785066900595,-0.08099512984164564,-0.015928302182297256,-0.04910807701643046,-0.231416720084706,0.8616347150938156,6
NVIDIA Corporation,0.7048743816411344,-0.04528932285656363,0.016336337305894608,0.9636934268902532,-0.059131522414501286,-0.06954919434007924,-0.025605637505557024,0.05185981483214745,-0.19766223636003502,-0.03865874216281245,-0.03641985238293476,-0.015924677395045377,-0.046918377895757014,0.2166003907145959,-0.18543705247194872,5
Johnson & Johnson,0.1019433844124301,0.4620514921728082,2.389351279248441,-0.23237322404205696,-0.05099365240022046,-0.06658136654882661,-0.02282968460507357,0.05090659764867201,-0.15460989292994276,-0.020947082002057138,0.06095704129296154,-0.015925530352268808,-0.0476136665121053,-0.022264284261934848,0.03785522761216927,0
Western Digital Corporation,-0.4018883552072551,0.09223256032834364,0.20305047983606084,-0.0657306401413704,-0.059447507505964885,-0.06372571073128502,-0.02715814020177432,0.04998244473658915,0.2131456388000039,0.012576472790659595,0.11069769425117966,-0.015926640095691908,-0.04782264740057293,0.08361172286343388,0.02362145677015377,1
